Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,1070837.0,1148582.0,1241660.0,1288303.0,1282107.0,1255768.0,1255440.0,1296976.0,1365178.0,1422555.0,1432017.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,63546.0,67866.0,72108.0,76216.0,76168.0,72455.0,73803.0,76352.0,77246.0,79774.0,78484.0
1735401,Nukus shahri,Город Нукус,Nukus city,10088.0,11001.0,12181.0,12944.0,12748.0,12121.0,11681.0,11511.0,11817.0,12200.0,11687.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,6959.0,7686.0,8119.0,7889.0,7774.0,7197.0,7492.0,7875.0,7912.0,8730.0,8628.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,5765.0,6446.0,6950.0,7196.0,1974.0,7686.0,8139.0,8371.0,8551.0,8969.0,8848.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,932.0,923.0,908.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,1992.0,2054.0,2181.0,2134.0,3988.0,1936.0,2143.0,2148.0,2161.0,2226.0,2140.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,3119.0,3292.0,3513.0,3676.0,5370.0,3722.0,3572.0,3176.0,3050.0,2967.0,2932.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,4232.0,4212.0,4690.0,4896.0,1958.0,5470.0,5290.0,5311.0,5463.0,5413.0,5022.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,1729.0,1913.0,1723.0,1868.0,1341.0,1803.0,1806.0,1981.0,2120.0,2129.0,2093.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,1177.0,1165.0,1261.0,1381.0,7436.0,1190.0,1142.0,1171.0,1221.0,1211.0,1189.0
1735225,Nukus tumani,Нукусский район,Nukus district,1720.0,1925.0,2067.0,2029.0,1809.0,1736.0,1914.0,2127.0,2197.0,2275.0,2356.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,2972.0,2826.0,2964.0,2978.0,2928.0,2909.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,1312.0,1574.0,1681.0,1804.0,1728.0,1561.0,1725.0,1752.0,1717.0,1630.0,1564.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,7627.0,7484.0,7861.0,9509.0,9202.0,8043.0,8109.0,8729.0,8899.0,9292.0,9166.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,4923.0,7376.0,7646.0,8054.0,7836.0,4441.0,4957.0,4883.0,4697.0,4731.0,4556.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,3891.0,4207.0,4559.0,4640.0,4708.0,4744.0,4898.0,4780.0,4723.0,4927.0,4959.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,2249.0,2045.0,1986.0,2195.0,2120.0,1812.0,1855.0,1996.0,1969.0,1947.0,1888.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,4836.0,5486.0,5690.0,6001.0,6176.0,6021.0,6254.0,6709.0,6839.0,7276.0,7639.0
1703,Andijon viloyati,Андижанская область,Andijan region,94861.0,102531.0,116716.0,123884.0,122117.0,116769.0,115201.0,121268.0,128840.0,133937.0,134674.0
1703401,Andijon shahar,Город Андижан,Andijon city,12718.0,11819.0,12217.0,14048.0,15885.0,16167.0,15596.0,16034.0,16973.0,17737.0,17490.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,1235.0,1394.0,1460.0,1561.0,1583.0,1472.0,1433.0,1452.0,1466.0,1442.0,1480.0
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,5366.0,6810.0,8323.0,8023.0,7138.0,6598.0,6635.0,7043.0,7514.0,7612.0,7582.0
1703203,Andijon tumani,Андижанский район,Andijon district,7349.0,8437.0,10882.0,12147.0,10983.0,9697.0,9700.0,10191.0,10661.0,11390.0,11690.0
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,6158.0,7168.0,8496.0,8497.0,7774.0,7290.0,7197.0,7565.0,8334.0,8645.0,8518.0
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,2194.0,2374.0,2661.0,2775.0,2820.0,2673.0,2517.0,2779.0,3069.0,3070.0,3003.0
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,4298.0,4778.0,5407.0,5510.0,5217.0,4934.0,4955.0,5385.0,5644.0,5786.0,5877.0
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,5779.0,6270.0,6994.0,7503.0,7197.0,6825.0,6821.0,6971.0,7199.0,7555.0,7752.0
1703214,Izboskan tumani,Избасканский район,Izboskan district,7306.0,7885.0,9127.0,9902.0,9608.0,9165.0,8998.0,9575.0,10192.0,10509.0,10586.0
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,1887.0,2078.0,2249.0,2330.0,2355.0,2232.0,2209.0,2307.0,2448.0,2437.0,2388.0
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,6491.0,7107.0,8446.0,9065.0,8732.0,7944.0,7600.0,8096.0,8409.0,8687.0,8923.0
1703224,Asaka tumani,Асакинский район,Asaka district,9616.0,10470.0,11727.0,12468.0,12522.0,12167.0,12052.0,12876.0,14075.0,14607.0,14543.0
1703227,Marxamat tumani,Мархаматский район,Marxamat district,5408.0,5616.0,6040.0,6194.0,6219.0,6136.0,6370.0,6830.0,6922.0,7277.0,7596.0
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,9622.0,10182.0,11269.0,11591.0,11754.0,11473.0,11462.0,12175.0,13172.0,13796.0,13730.0
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,5984.0,6525.0,7387.0,7926.0,7911.0,7686.0,7573.0,7827.0,8264.0,8622.0,8783.0
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,3450.0,3618.0,4031.0,4344.0,4419.0,4310.0,4083.0,4162.0,4498.0,4765.0,4733.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,60198.0,62407.0,65459.0,67851.0,68783.0,66522.0,65851.0,69200.0,72522.0,75165.0,75315.0
1706401,Buxoro shahar,Город Бухара,Buxoro city,9187.0,9231.0,9833.0,10200.0,10296.0,9460.0,8446.0,8730.0,8925.0,8874.0,8666.0
1706403,Kogon shahar,Город Каган,Kogon city,2277.0,2229.0,2234.0,2199.0,2188.0,2084.0,1903.0,1937.0,1991.0,2092.0,2064.0
1706204,Olot tumani,Aлатский район,Olot  district,3130.0,3234.0,3460.0,3467.0,3443.0,3370.0,3422.0,3706.0,3827.0,3857.0,4045.0
1706207,Buxoro tumani,Бухарский район,Buxoro district,5191.0,5088.0,5471.0,5752.0,6152.0,5997.0,5537.0,5770.0,5931.0,6206.0,6155.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,4296.0,4293.0,4318.0,4369.0,4620.0,4699.0,4729.0,4997.0,5311.0,5561.0,5548.0
1706215,G'ijduvon tumani,Гиждуванский район,G'ijduvon district,8827.0,9821.0,11184.0,11971.0,11407.0,10806.0,11182.0,11670.0,12463.0,12844.0,12883.0
1706219,Kogon tumani,Каганский район,Kogon district,2508.0,2473.0,2463.0,2617.0,2642.0,2666.0,2930.0,3048.0,3146.0,3271.0,3234.0
1706230,Qorako'l tumani,Каракульский район,Qorako'l district,5510.0,5783.0,5783.0,5829.0,5949.0,5765.0,5387.0,5624.0,6325.0,6816.0,6760.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,594.0,616.0,665.0,663.0,620.0,558.0,522.0,564.0,599.0,649.0,688.0
1706240,Peshku tumani,Пешкунский  район,Peshku district,3850.0,4079.0,4187.0,4080.0,3993.0,4101.0,4410.0,4694.0,5019.0,5331.0,5362.0
1706242,Romitan tumani,Ромитанский район,Romitan district,4075.0,4347.0,4295.0,4682.0,5036.0,4650.0,4827.0,5322.0,5460.0,5681.0,5906.0
1706246,Jondor tumani,Жондорский район,Jondor  district,5407.0,5820.0,5882.0,6135.0,6472.0,6352.0,6428.0,6880.0,7144.0,7172.0,7133.0
1706258,Shofirkon tumani,Шафирканский район,Shofirkon district,5346.0,5393.0,5684.0,5887.0,5965.0,6014.0,6128.0,6258.0,6381.0,6811.0,6871.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,47105.0,48663.0,52594.0,54349.0,53302.0,51634.0,51195.0,52588.0,55707.0,60155.0,61664.0
1708401,Jizzax shahar,Город Джизак,Jizzakh city,6208.0,6310.0,6447.0,6430.0,6314.0,5781.0,5597.0,5632.0,5656.0,6063.0,6382.0
1708201,Arnasoy tuman,Арнасайский район,Arnasoy district,1524.0,1584.0,1689.0,1944.0,1905.0,1760.0,1683.0,1603.0,1680.0,1801.0,1890.0
1708204,Baxmal tumani,Бахмальский район,Baxmal district,5414.0,5362.0,5725.0,6054.0,5703.0,5601.0,6190.0,6512.0,7054.0,7806.0,8033.0
1708209,G'allaorol tumani,Галляаральский район,G'allaorol district,5625.0,5883.0,6518.0,6819.0,7036.0,6921.0,6276.0,6443.0,7132.0,7713.0,7881.0
1708212,Sharof Rashidov tumani,Шараф-Рашидовский  район,Sharof Rashidov  district,7414.0,7139.0,8360.0,8970.0,8217.0,8162.0,8877.0,9286.0,9765.0,10339.0,10461.0
1708215,Do'stlik tumani,Дустликский район,Do'stlik district,2409.0,2471.0,2758.0,2661.0,2645.0,2705.0,2582.0,2434.0,2435.0,2699.0,2771.0
1708218,Zomin tumani,Зааминский район,Zomin district,6385.0,6615.0,6863.0,7025.0,7452.0,6456.0,6137.0,6467.0,6787.0,7395.0,7557.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdor district,2024.0,2601.0,2775.0,2768.0,2677.0,3432.0,3496.0,3584.0,3880.0,4164.0,4249.0
1708223,Mirzacho'l tumani,Мирзачульский район,Mirzacho'l district,1878.0,1949.0,2021.0,2044.0,2037.0,1846.0,1751.0,1789.0,1834.0,1946.0,1934.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarobod district,1556.0,1792.0,2072.0,2189.0,2126.0,1862.0,1706.0,1760.0,1853.0,2027.0,2079.0
1708228,Paxtakor tumani,Пахтакорский район,Paxtakor district,2481.0,2548.0,2848.0,2839.0,2563.0,2675.0,2662.0,2748.0,2976.0,3126.0,3386.0
1708235,Forish tumani,Фаришский район,Forish district,3045.0,3286.0,3331.0,3363.0,3530.0,3446.0,3260.0,3329.0,3597.0,3937.0,3875.0
1708237,Yangiobod tumani,Янгиабадский район,Yangiobod district,1142.0,1123.0,1187.0,1243.0,1097.0,987.0,978.0,1001.0,1058.0,1139.0,1166.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,105818.0,112355.0,122797.0,127193.0,127221.0,128188.0,133517.0,139251.0,142244.0,148481.0,151745.0
1710401,Qarshi  shahar,Город Карши,Qarshi  city,10016.0,10091.0,10344.0,11092.0,11447.0,10614.0,9828.0,9978.0,9585.0,9350.0,9345.0
