,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ayollar,15215.3,15470.3,15736.4,15999.5,16258.8,16544.9,16859.9,17180.5,17527.1,17896.3
Erkaklar,15277.5,15552.2,15838.9,16121.0,16397.9,16710.6,17045.3,17378.4,17744.2,18128.6
