Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,4221334.0,4156158.0,4165869.0,4237074.0,4363455.0,4512545.0,4629693.0,4754910.0,4859217.0,4999066.0,5154170.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,255800.0,252064.0,254199.0,256119.0,259616.0,267581.0,273483.0,278745.0,283975.0,291148.0,297632.0
1735401,Nukus shahri,Город Нукус,Nukus city,40387.0,39881.0,40120.0,40295.0,41262.0,43131.0,44623.0,45698.0,46227.0,47183.0,48117.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,6321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,27701.0,27746.0,28109.0,29065.0,29463.0,29740.0,29991.0,30012.0,30143.0,30420.0,31044.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,24725.0,24049.0,24206.0,24188.0,7587.0,25089.0,25761.0,27006.0,28252.0,29630.0,31048.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328.0,3374.0,3415.0,3500.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,6810.0,7026.0,7195.0,7415.0,12348.0,7780.0,7875.0,8002.0,8213.0,8208.0,8378.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,11958.0,11782.0,11831.0,12114.0,18127.0,12834.0,13684.0,11261.0,11292.0,11641.0,11885.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,18832.0,18579.0,18167.0,18023.0,7013.0,18341.0,18858.0,19008.0,19390.0,19650.0,20594.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,7434.0,7098.0,7330.0,7070.0,4691.0,7135.0,7219.0,7150.0,7151.0,7505.0,7534.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,4335.0,4313.0,4260.0,4387.0,24438.0,4886.0,4969.0,5024.0,4891.0,4901.0,4950.0
1735225,Nukus tumani,Нукусский район,Nukus district,6179.0,6056.0,6097.0,6441.0,6734.0,6902.0,7151.0,7283.0,7587.0,7866.0,8008.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,10231.0,10753.0,10985.0,11255.0,11461.0,11685.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,5674.0,5520.0,5593.0,5708.0,5782.0,6041.0,5997.0,6178.0,6331.0,6572.0,6730.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,29670.0,28670.0,29129.0,28667.0,29186.0,30551.0,31108.0,32084.0,32758.0,33726.0,34043.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,19841.0,26141.0,26384.0,26697.0,26889.0,18046.0,18059.0,18444.0,18689.0,19041.0,19080.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,15514.0,15365.0,15716.0,15965.0,16017.0,16477.0,16996.0,16680.0,17391.0,17814.0,18279.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,8675.0,8600.0,8583.0,8616.0,8540.0,8589.0,8435.0,8210.0,8124.0,7946.0,7841.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,21744.0,21238.0,21479.0,21468.0,21539.0,21808.0,22004.0,22392.0,22907.0,24169.0,24916.0
1703,Andijon viloyati,Андижанская область,Andijan region,372446.0,367620.0,364663.0,372000.0,390241.0,408366.0,422810.0,436410.0,448116.0,463779.0,482414.0
1703401,Andijon shahar,Город Андижан,Andijon city,53998.0,52426.0,50836.0,49289.0,49407.0,50535.0,52984.0,54498.0,56013.0,57711.0,60391.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,5151.0,4731.0,4689.0,4820.0,4967.0,5239.0,5399.0,5505.0,5685.0,5853.0,5926.0
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,20396.0,20124.0,20125.0,21830.0,23945.0,25405.0,26156.0,26963.0,27443.0,28483.0,29667.0
1703203,Andijon tumani,Андижанский район,Andijon district,28975.0,28561.0,28388.0,29153.0,32151.0,34829.0,36141.0,37854.0,39093.0,40646.0,42369.0
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,22942.0,23099.0,23151.0,24325.0,26035.0,27283.0,28030.0,28869.0,29499.0,30400.0,31701.0
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,8418.0,8403.0,8415.0,8687.0,9145.0,9402.0,9750.0,9977.0,10201.0,10586.0,11062.0
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,17376.0,17082.0,16904.0,17177.0,17929.0,18564.0,19000.0,19436.0,19830.0,20568.0,21174.0
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,21142.0,21222.0,21258.0,21906.0,23057.0,24310.0,25033.0,25984.0,26710.0,27502.0,28154.0
1703214,Izboskan tumani,Избасканский район,Izboskan district,27879.0,27492.0,27617.0,28084.0,29772.0,31353.0,32582.0,33774.0,34966.0,36461.0,37871.0
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,6850.0,6824.0,6860.0,7186.0,7565.0,7968.0,8249.0,8458.0,8682.0,8928.0,9240.0
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,24747.0,24750.0,24658.0,25415.0,27028.0,28551.0,29756.0,30474.0,31217.0,32173.0,33153.0
1703224,Asaka tumani,Асакинский район,Asaka district,38012.0,37259.0,37069.0,37807.0,39451.0,41410.0,42975.0,44449.0,45925.0,47981.0,50410.0
1703227,Marxamat tumani,Мархаматский район,Marxamat district,21861.0,21391.0,21046.0,21341.0,21909.0,22416.0,22725.0,23403.0,23982.0,24714.0,25505.0
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,37671.0,37829.0,37403.0,38169.0,39340.0,40744.0,42039.0,43168.0,44043.0,45365.0,47612.0
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,23290.0,23072.0,22931.0,23439.0,24632.0,25866.0,26874.0,27969.0,28856.0,29976.0,31146.0
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,13738.0,13355.0,13313.0,13372.0,13908.0,14491.0,15117.0,15629.0,15971.0,16432.0,17033.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,231263.0,229517.0,230347.0,234401.0,239210.0,244551.0,248966.0,253264.0,257179.0,263020.0,270103.0
1706401,Buxoro shahar,Город Бухара,Buxoro city,32365.0,32266.0,32818.0,33235.0,34533.0,35447.0,36894.0,37129.0,37266.0,37170.0,37109.0
1706403,Kogon shahar,Город Каган,Kogon city,8237.0,8380.0,8475.0,8627.0,8741.0,8717.0,8741.0,8653.0,8538.0,8381.0,8286.0
1706204,Olot tumani,Aлатский район,Olot  district,12895.0,12995.0,13035.0,13098.0,13242.0,13404.0,13428.0,13313.0,13286.0,13610.0,13997.0
1706207,Buxoro tumani,Бухарский район,Buxoro district,18647.0,18738.0,18837.0,19193.0,19870.0,20275.0,21255.0,21762.0,22400.0,22620.0,23099.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,17401.0,17281.0,16888.0,17008.0,17087.0,17031.0,17189.0,17400.0,17775.0,18190.0,18833.0
1706215,G'ijduvon tumani,Гиждуванский район,G'ijduvon district,36796.0,35974.0,35696.0,36730.0,37978.0,39739.0,39237.0,40661.0,41569.0,43338.0,45467.0
1706219,Kogon tumani,Каганский район,Kogon district,8977.0,8930.0,9152.0,9304.0,9400.0,9605.0,9801.0,10230.0,10640.0,10904.0,11266.0
1706230,Qorako'l tumani,Каракульский район,Qorako'l district,21950.0,21834.0,22094.0,22270.0,22313.0,22553.0,22778.0,22649.0,22264.0,22625.0,23129.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,2228.0,2245.0,2359.0,2418.0,2498.0,2470.0,2466.0,2453.0,2386.0,2384.0,2383.0
1706240,Peshku tumani,Пешкунский  район,Peshku district,13626.0,13593.0,13828.0,14347.0,14629.0,14900.0,15284.0,15781.0,16345.0,16851.0,17514.0
1706242,Romitan tumani,Ромитанский район,Romitan district,16652.0,16475.0,16565.0,16755.0,16866.0,17304.0,17570.0,17709.0,18142.0,18900.0,19531.0
