Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2015,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,5209.0,4236.0,4724.0,5413.0,5993.0,6576.0,7415.0,7961.0,8626.0,9218.0,9784.0
1703224,Asaka tumani,Асакинский район,Asaka district,8675.0,7111.0,8080.0,8432.0,9119.0,9359.0,10056.0,10562.0,11769.0,12530.0,13112.0
1703227,Marxamat tumani,Мархаматский район,Marxamat district,4232.0,3575.0,3908.0,4414.0,4548.0,4687.0,5178.0,5405.0,5751.0,6337.0,6717.0
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,5959.0,5110.0,5654.0,6004.0,6660.0,6984.0,7995.0,8830.0,9505.0,10003.0,10748.0
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,4583.0,3552.0,4116.0,5356.0,5816.0,6230.0,6873.0,7442.0,7655.0,7958.0,7923.0
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,2611.0,2187.0,2396.0,2747.0,2781.0,2850.0,2987.0,3240.0,3564.0,4031.0,4427.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,49967.0,41264.0,46065.0,53506.0,56450.0,59393.0,64676.0,69903.0,75438.0,81555.0,86406.0
1706401,Buxoro shahar,Город Бухара,Buxoro city,9252.0,7885.0,8750.0,9774.0,10110.0,10680.0,11204.0,12463.0,13610.0,14917.0,15939.0
1706403,Kogon shahar,Город Каган,Kogon city,2250.0,1896.0,2124.0,2366.0,2517.0,2688.0,2818.0,2840.0,2916.0,2909.0,2834.0
1706204,Olot tumani,Aлатский район,Olot  district,2227.0,1855.0,2021.0,2283.0,2422.0,2675.0,2917.0,2973.0,3206.0,3285.0,3519.0
1706207,Buxoro tumani,Бухарский район,Buxoro district,3859.0,3013.0,3461.0,4548.0,4684.0,5252.0,5849.0,6395.0,6709.0,7595.0,7903.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,3001.0,2576.0,2813.0,3420.0,3841.0,4046.0,4476.0,4845.0,5148.0,5431.0,5917.0
1706215,G'ijduvon tumani,Гиждуванский район,G'ijduvon district,7574.0,6064.0,6981.0,7931.0,8534.0,8179.0,8649.0,9628.0,10659.0,11228.0,12283.0
1706219,Kogon tumani,Каганский район,Kogon district,2154.0,1837.0,2026.0,2284.0,2420.0,2706.0,2958.0,3104.0,3325.0,3516.0,3526.0
1706230,Qorako'l tumani,Каракульский район,Qorako'l district,3316.0,2671.0,2898.0,3596.0,3647.0,4153.0,4705.0,4830.0,5123.0,5820.0,5967.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,459.0,408.0,450.0,463.0,519.0,540.0,579.0,663.0,802.0,924.0,934.0
1706240,Peshku tumani,Пешкунский  район,Peshku district,2755.0,2233.0,2501.0,2910.0,3057.0,3249.0,3698.0,4109.0,4530.0,5033.0,5296.0
1706242,Romitan tumani,Ромитанский район,Romitan district,3180.0,2651.0,2870.0,3252.0,3344.0,3544.0,4013.0,4497.0,4861.0,5651.0,5961.0
1706246,Jondor tumani,Жондорский район,Jondor  district,4194.0,3413.0,3930.0,4698.0,5233.0,5487.0,6132.0,6531.0,6747.0,6847.0,7572.0
1706258,Shofirkon tumani,Шафирканский район,Shofirkon district,5746.0,4762.0,5240.0,5981.0,6122.0,6194.0,6678.0,7025.0,7802.0,8399.0,8755.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,30649.0,25184.0,27879.0,32480.0,35351.0,37592.0,40575.0,43172.0,45837.0,48221.0,50102.0
1708401,Jizzax shahar,Город Джизак,Jizzakh city,4998.0,4022.0,4559.0,5203.0,5780.0,6346.0,6498.0,6700.0,7070.0,7376.0,7656.0
1708201,Arnasoy tuman,Арнасайский район,Arnasoy district,1032.0,861.0,974.0,969.0,1067.0,1131.0,1234.0,1491.0,1525.0,1590.0,1612.0
1708204,Baxmal tumani,Бахмальский район,Baxmal district,2989.0,2580.0,2716.0,3419.0,3995.0,4042.0,4486.0,4634.0,4763.0,4839.0,4912.0
1708209,G'allaorol tumani,Галляаральский район,G'allaorol district,4288.0,3670.0,3914.0,4430.0,4570.0,4718.0,5138.0,5425.0,5882.0,6214.0,6124.0
1708212,Sharof Rashidov tumani,Шараф-Рашидовский  район,Sharof Rashidov  district,3709.0,3391.0,3588.0,3992.0,4305.0,4614.0,5178.0,5640.0,6174.0,6539.0,7380.0
1708215,Do'stlik tumani,Дустликский район,Do'stlik district,1382.0,987.0,1144.0,1466.0,1526.0,1532.0,1752.0,1829.0,2039.0,2192.0,2268.0
1708218,Zomin tumani,Зааминский район,Zomin district,3652.0,3147.0,3498.0,3878.0,4206.0,4177.0,4531.0,5155.0,5184.0,5464.0,5713.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdor district,1834.0,1366.0,1597.0,2014.0,2038.0,2396.0,2540.0,2747.0,2872.0,2923.0,3068.0
1708223,Mirzacho'l tumani,Мирзачульский район,Mirzacho'l district,930.0,676.0,848.0,1021.0,1195.0,1354.0,1359.0,1445.0,1590.0,1645.0,1711.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarobod district,1437.0,1036.0,1234.0,1497.0,1663.0,1722.0,1730.0,1727.0,1763.0,1725.0,1635.0
1708228,Paxtakor tumani,Пахтакорский район,Paxtakor district,1841.0,1489.0,1774.0,1823.0,1941.0,2132.0,2107.0,2241.0,2340.0,2649.0,2689.0
