Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2342118.0,2425354.0,2519521.0,2642704.0,2770689.0,2892770.0,2987338.0,3037479.0,3081371.0,3130537.0,3163221.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,139639.0,145030.0,150380.0,157195.0,164170.0,171233.0,176621.0,178684.0,180455.0,183468.0,182501.0
1735401,Nukus shahri,Город Нукус,Nukus city,23716.0,24313.0,25356.0,27038.0,28521.0,30178.0,31070.0,31660.0,31436.0,31887.0,31752.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,4052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,14265.0,14761.0,15575.0,16451.0,17009.0,17554.0,18007.0,17980.0,17655.0,17943.0,17597.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,14082.0,14937.0,15360.0,16005.0,4475.0,17041.0,17369.0,17641.0,17496.0,17941.0,18405.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139.0,2187.0,2268.0,2324.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,3765.0,3921.0,3916.0,4138.0,7565.0,4626.0,4580.0,4724.0,4883.0,4889.0,5094.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,5484.0,6059.0,6574.0,7129.0,11205.0,8370.0,8830.0,7283.0,7649.0,7754.0,7451.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,9791.0,10120.0,10188.0,10870.0,3871.0,11445.0,12044.0,12261.0,11982.0,11797.0,11915.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,3933.0,3884.0,3827.0,3676.0,2575.0,3928.0,4109.0,4367.0,4707.0,4776.0,4949.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,1978.0,2140.0,2306.0,2424.0,16618.0,2729.0,2774.0,2919.0,3087.0,3283.0,3375.0
1735225,Nukus tumani,Нукусский район,Nukus district,3260.0,3475.0,3739.0,3925.0,4341.0,4750.0,4950.0,5022.0,5254.0,5458.0,5215.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,6346.0,6715.0,7067.0,7187.0,7371.0,7598.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,2741.0,3063.0,3085.0,3334.0,3480.0,3604.0,3702.0,3779.0,3827.0,3940.0,3605.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,16329.0,17039.0,18014.0,18000.0,19070.0,19967.0,20099.0,19758.0,19883.0,19812.0,19335.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,10638.0,15003.0,15522.0,16314.0,16746.0,11284.0,11887.0,11850.0,12352.0,12697.0,11957.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,8746.0,8690.0,9073.0,9331.0,9786.0,10182.0,10780.0,10135.0,10617.0,11037.0,11258.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,4526.0,4434.0,4225.0,4295.0,4290.0,4354.0,4765.0,5036.0,5141.0,5366.0,5280.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,12333.0,13191.0,13620.0,14265.0,14618.0,14875.0,14940.0,15063.0,15112.0,15249.0,15391.0
1703,Andijon viloyati,Андижанская область,Andijan region,212144.0,218972.0,226927.0,237952.0,248267.0,257318.0,263503.0,267399.0,272633.0,278674.0,284308.0
1703401,Andijon shahar,Город Андижан,Andijon city,29412.0,30418.0,31697.0,33995.0,35138.0,36252.0,37095.0,37535.0,37792.0,38923.0,40387.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,2964.0,3102.0,3304.0,3442.0,3499.0,3549.0,3714.0,3695.0,3810.0,3947.0,4069.0
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,11741.0,12096.0,12281.0,13090.0,13602.0,14229.0,14548.0,15080.0,15441.0,15942.0,16387.0
1703203,Andijon tumani,Андижанский район,Andijon district,17089.0,17554.0,18651.0,19376.0,20122.0,21080.0,21729.0,21908.0,22451.0,23371.0,23568.0
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,15036.0,15272.0,15643.0,16103.0,16804.0,17125.0,17582.0,18009.0,18160.0,18262.0,18412.0
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,4626.0,5072.0,5327.0,5452.0,5856.0,6199.0,6155.0,6129.0,6458.0,6658.0,6934.0
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,9134.0,9562.0,10347.0,10775.0,11476.0,12006.0,12600.0,12590.0,13159.0,13362.0,13364.0
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,12776.0,13153.0,13944.0,14327.0,14847.0,15268.0,15783.0,15818.0,16223.0,16793.0,17145.0
1703214,Izboskan tumani,Избасканский район,Izboskan district,17039.0,17669.0,18040.0,18899.0,18851.0,19804.0,19920.0,20390.0,20597.0,21411.0,21210.0
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,4320.0,4144.0,4288.0,4523.0,4714.0,4889.0,5012.0,4977.0,4959.0,4987.0,5062.0
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,14478.0,15126.0,15736.0,16764.0,17457.0,17986.0,18669.0,19033.0,19044.0,19479.0,20240.0
1703224,Asaka tumani,Асакинский район,Asaka district,22622.0,23506.0,23698.0,24206.0,25332.0,25431.0,25623.0,26251.0,27286.0,27604.0,29157.0
1703227,Marxamat tumani,Мархаматский район,Marxamat district,11263.0,11482.0,11742.0,12230.0,13284.0,13761.0,14365.0,14738.0,15024.0,15422.0,15705.0
1703230,Shaxrixon tumani,Шахриханский район,Shaxrixon district,19622.0,20224.0,20869.0,21960.0,22918.0,23597.0,23967.0,23969.0,24459.0,24984.0,25705.0
1703232,Paxtaobod tumani,Пахтаабадский район,Paxtaobod district,12798.0,13285.0,13861.0,15144.0,16384.0,17355.0,17595.0,17716.0,17845.0,17420.0,17125.0
1703236,Xo'jaobod tumani,Ходжаабадский район,Xo'jaobod district,7224.0,7307.0,7499.0,7666.0,7983.0,8787.0,9146.0,9561.0,9925.0,10109.0,9838.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,136011.0,139549.0,144621.0,152368.0,159729.0,166625.0,170898.0,172688.0,174161.0,176292.0,177365.0
1706401,Buxoro shahar,Город Бухара,Buxoro city,21279.0,21116.0,21130.0,21981.0,22676.0,23331.0,24221.0,25092.0,24298.0,24471.0,23690.0
1706403,Kogon shahar,Город Каган,Kogon city,5137.0,5081.0,5026.0,4978.0,4933.0,4809.0,4854.0,4816.0,4738.0,4696.0,4635.0
1706204,Olot tumani,Aлатский район,Olot  district,7646.0,8026.0,8208.0,8483.0,8506.0,8537.0,8592.0,8631.0,8691.0,8824.0,9080.0
1706207,Buxoro tumani,Бухарский район,Buxoro district,11277.0,11878.0,12305.0,12975.0,14002.0,15418.0,16189.0,16329.0,16978.0,16910.0,16790.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,10002.0,10062.0,10201.0,10398.0,10709.0,11081.0,11383.0,11737.0,12340.0,12706.0,13066.0
1706215,G'ijduvon tumani,Гиждуванский район,G'ijduvon district,20756.0,21576.0,23302.0,25011.0,26635.0,27536.0,27776.0,27354.0,27613.0,28004.0,28527.0
1706219,Kogon tumani,Каганский район,Kogon district,4914.0,5172.0,5379.0,5571.0,5776.0,6041.0,6379.0,6430.0,6778.0,7069.0,7222.0
1706230,Qorako'l tumani,Каракульский район,Qorako'l district,11579.0,11700.0,11980.0,12813.0,13683.0,14315.0,14653.0,14995.0,14871.0,14712.0,14742.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,1260.0,1328.0,1391.0,1523.0,1630.0,1842.0,1912.0,1837.0,1815.0,1852.0,1832.0
1706240,Peshku tumani,Пешкунский  район,Peshku district,8305.0,8807.0,9045.0,9674.0,10186.0,10659.0,10856.0,11096.0,11265.0,11960.0,12825.0
1706242,Romitan tumani,Ромитанский район,Romitan district,9641.0,9800.0,10471.0,11064.0,11657.0,12285.0,12709.0,12703.0,13105.0,13361.0,13610.0
1706246,Jondor tumani,Жондорский район,Jondor  district,13032.0,13533.0,13951.0,14777.0,15407.0,15857.0,15864.0,15854.0,15408.0,15196.0,14880.0
1706258,Shofirkon tumani,Шафирканский район,Shofirkon district,11183.0,11470.0,12232.0,13120.0,13929.0,14914.0,15510.0,15814.0,16261.0,16531.0,16466.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,87111.0,92400.0,98146.0,101748.0,108677.0,118246.0,121738.0,124609.0,130153.0,133136.0,135963.0
