Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,3439677.0,3492512.0,3541964.0,3607175.0,3693815.0,3774076.0,3854797.0,3968939.0,4062235.0,4153948.0,4253017.0
1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,190076.0,193574.0,196648.0,201342.0,207102.0,213034.0,219476.0,227034.0,233871.0,238689.0,244288.0
1735401,Nukus shahri,Город Нукус,Nukus city,33814.0,34972.0,35934.0,36807.0,37917.0,38352.0,39859.0,41418.0,42374.0,43101.0,44031.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,4879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,18842.0,18969.0,19216.0,19795.0,20542.0,21433.0,22331.0,23079.0,23544.0,24341.0,24772.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,18743.0,19077.0,19199.0,19919.0,5713.0,21029.0,21501.0,22485.0,23109.0,23957.0,24605.0
1735209,Bo‘zatov tumani,Бозатовский район,Bo‘zatov district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.0,2346.0,2356.0,2372.0
1735211,Qorao‘zak tumani,Караузякский район,Qorao‘zak district,5846.0,5686.0,5788.0,5715.0,9473.0,5658.0,5820.0,6094.0,6137.0,6033.0,6109.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,10087.0,9815.0,9706.0,9540.0,13682.0,9411.0,9173.0,7354.0,7309.0,7332.0,7382.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Qo‘ng‘irot district,12633.0,12773.0,12733.0,13179.0,5899.0,14056.0,14787.0,15130.0,15608.0,16169.0,16823.0
1735218,Qanliko'l tumani,Канлыкульский район,Qanliko'l district,5814.0,5989.0,5873.0,5910.0,3393.0,6063.0,6235.0,6164.0,6503.0,6502.0,6635.0
1735222,Mo‘ynoq tumani,Муйнакский район,Mo‘ynoq  district,3332.0,3357.0,3411.0,3348.0,20482.0,3499.0,3523.0,3584.0,3643.0,3508.0,3629.0
1735225,Nukus tumani,Нукусский район,Nukus district,4834.0,4774.0,4797.0,4842.0,4970.0,5186.0,5372.0,5547.0,5873.0,5790.0,5819.0
1735228,Taxiatosh tumani,Тахиаташский район,Taxiatosh district,0.0,0.0,0.0,0.0,0.0,8334.0,8461.0,8649.0,8868.0,9040.0,9345.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Taxtako‘pir district,4443.0,4496.0,4534.0,4584.0,4651.0,4875.0,4897.0,4916.0,4811.0,4740.0,4587.0
1735233,To'rtko'l tumani,Турткульский район,To'rtko'l district,19044.0,19756.0,20467.0,21372.0,22413.0,23459.0,24576.0,25917.0,27517.0,27793.0,28837.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Xo‘jayli district,15859.0,21181.0,21373.0,21512.0,21848.0,13836.0,14197.0,14610.0,15040.0,15666.0,16174.0
1735240,Chimboy tumani,Чимбайский район,Chimboy district,12491.0,12361.0,12370.0,12604.0,12965.0,13515.0,13669.0,13451.0,13829.0,13838.0,13705.0
1735243,Shumanay tumani,Шуманайский район,Shumanay district,5944.0,6336.0,6641.0,6934.0,7300.0,7437.0,7633.0,7991.0,8156.0,8201.0,8277.0
1735250,Ellikqala tumani,Элликкалинский район,Ellikqala district,13471.0,14032.0,14606.0,15281.0,15854.0,16891.0,17442.0,18365.0,19204.0,20322.0,21186.0
1703,Andijon viloyati,Андижанская область,Andijan region,337247.0,344668.0,350096.0,355723.0,362910.0,369004.0,374137.0,381495.0,385163.0,390260.0,396199.0
1703401,Andijon shahar,Город Андижан,Andijon city,50931.0,51747.0,52936.0,53926.0,55108.0,55573.0,55895.0,56359.0,56093.0,56712.0,56896.0
1703408,Xonobod shahar,Город Ханабад,Xonobod  city,4594.0,4525.0,4396.0,4479.0,4637.0,4808.0,4815.0,4923.0,5135.0,5169.0,5357.0
1703202,Oltinko'l tumani,Алтынкульский район,Oltinko'l  district,18245.0,18846.0,18993.0,19123.0,19231.0,19809.0,20076.0,20736.0,21006.0,21352.0,21924.0
1703203,Andijon tumani,Андижанский район,Andijon district,27692.0,28417.0,28624.0,29462.0,29960.0,30370.0,30648.0,31230.0,31706.0,31898.0,32184.0
1703206,Baliqchi tumani,Балыкчинский район,Baliqchi district,21087.0,21787.0,22184.0,22469.0,23079.0,23689.0,24369.0,25128.0,25832.0,26325.0,26897.0
1703209,Bo'ston tumani,Бустанский район,Bo'ston district,7986.0,8166.0,8306.0,8373.0,8483.0,8660.0,8570.0,8786.0,8636.0,8795.0,8827.0
1703210,Buloqboshi tumani,Булакбашинский район,Buloqboshi district,15337.0,15229.0,15466.0,15613.0,15997.0,16061.0,16146.0,16499.0,16679.0,16849.0,17289.0
1703211,Jalаquduq tumani,Джалакудукский район,Jalаquduq district,20644.0,21223.0,21616.0,21489.0,21629.0,22037.0,22447.0,22321.0,22617.0,22825.0,23438.0
1703214,Izboskan tumani,Избасканский район,Izboskan district,24142.0,25421.0,26102.0,26722.0,27839.0,28160.0,29035.0,29643.0,30286.0,31012.0,31516.0
1703217,Ulug'nor tumani,Улугнорский район,Ulug'nor district,6030.0,6045.0,6454.0,6615.0,6886.0,7188.0,7736.0,8055.0,8209.0,8313.0,8314.0
1703220,Qo'rg'ontepa tumani,Кургантепинский район,Qo'rg'ontepa district,22941.0,22825.0,22876.0,23517.0,23997.0,24220.0,24485.0,25082.0,25233.0,25966.0,26732.0
1703224,Asaka tumani,Асакинский район,Asaka district,36272.0,36944.0,37066.0,37688.0,38367.0,39093.0,39664.0,40631.0,40438.0,41213.0,41741.0
